,video_id,video_title,channel_title,subscriber_count,view_count,like_count,comment_count
88,2K5uZ1gK0sE,Texas state officials urge residents to avoid travel to Mexico,NBC News,7670000,162594,799,633
89,lpz02A--MXU,"24 HOURS in AUSTIN,TX | Austin Travel Guide",Tourist to Local,68100,46804,595,78
90,Dd3VaOoFAAA,"10 Best Things to Do in Waco, Texas",ViewCation,24600,18550,275,22
91,YNdGDlgWpxk,"Traveling from Manila to Texas, USA 2022 with Layovers in Japan and Hawaii | Air Nippon Airways",Zea Raiza,1200,4771,56,51
92,UF_T0JLM1MY,"22 Things to do in Houston, Texas",Angel's Video Diary,3290,11073,184,21
93,bT7oW6wpRZE,Insanely Beautiful Places in the Texas Hill Country,My Curly Adventures,11200,4706,78,4
94,GLWTWHMBESo,The 10 Best Places To Visit In Austin Texas -Austin Texas Travel Guide,Local Travel Vacation,65,1251,207,0
95,1a802dwarLo,"Awesome Austin, Texas Travel Guide with Chet Garner & Family",bestwesternTV,11200,67369,33,5
96,fl9l6V4H8nA,Vehicles travel carefully on Dallas roads as icy conditions continue,WFAA,414000,21053,33,1
97,nhCtEZuBNj4,America's LONGEST Train Journey! The Texas Eagle!,Dylan's Travel Reports,120000,58120,2439,291
98,JnR_xEs48Fg,Best Places To Visit In Texas || TEXAS Travel Guide 2023,A&B Discover ,1140,71,2,0
99,bfTMgmF27sM,#sister #family #travel #texas,Leah Goodrich,138000,627461,38986,119
